,brush_hair,catch,clap,climb_stairs,golf,jump,kick_ball,pick,pour,pullup,push,run,shoot_ball,shoot_bow,shoot_gun,sit,stand,swing_baseball,throw,walk,wave
brush_hair,0.4878048780487805,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.1951219512195122,0.0,0.0,0.0,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.0,0.07317073170731707,0.0,0.0
catch,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.1875,0.0,0.0
clap,0.22727272727272727,0.0,0.09090909090909091,0.022727272727272728,0.0,0.0,0.045454545454545456,0.022727272727272728,0.0,0.0,0.045454545454545456,0.045454545454545456,0.06818181818181818,0.0,0.09090909090909091,0.1590909090909091,0.06818181818181818,0.045454545454545456,0.06818181818181818,0.0,0.0
climb_stairs,0.0,0.0,0.0,0.775,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.1,0.0
golf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jump,0.0,0.0,0.0,0.2564102564102564,0.28205128205128205,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.0,0.23076923076923078,0.02564102564102564
kick_ball,0.19444444444444445,0.0,0.027777777777777776,0.0,0.16666666666666666,0.08333333333333333,0.2222222222222222,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.08333333333333333,0.1388888888888889,0.0
pick,0.0,0.05,0.0,0.025,0.15,0.0,0.0,0.05,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.075,0.05,0.0,0.0,0.45,0.025
pour,0.12727272727272726,0.01818181818181818,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.3090909090909091,0.01818181818181818,0.0,0.01818181818181818,0.0,0.0,0.23636363636363636,0.03636363636363636,0.14545454545454545,0.0,0.03636363636363636,0.0,0.0
pullup,0.05454545454545454,0.0,0.03636363636363636,0.03636363636363636,0.0,0.16363636363636364,0.0,0.0,0.0,0.0,0.0,0.12727272727272726,0.05454545454545454,0.03636363636363636,0.2545454545454545,0.0,0.05454545454545454,0.05454545454545454,0.01818181818181818,0.10909090909090909,0.0
push,0.0,0.0,0.047619047619047616,0.16666666666666666,0.023809523809523808,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.07142857142857142,0.023809523809523808,0.19047619047619047,0.0,0.0,0.23809523809523808,0.0
run,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.05,0.025,0.025,0.05,0.025,0.475,0.05
shoot_ball,0.0,0.0,0.0,0.025,0.025,0.075,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.0,0.1,0.0,0.075,0.0,0.2,0.4,0.0
shoot_bow,0.0,0.0,0.0,0.05660377358490566,0.41509433962264153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22641509433962265,0.20754716981132076,0.0,0.0,0.018867924528301886,0.03773584905660377,0.0,0.03773584905660377
shoot_gun,0.0,0.0,0.01818181818181818,0.0,0.2,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.4909090909090909,0.0,0.0,0.03636363636363636,0.07272727272727272,0.14545454545454545,0.01818181818181818
sit,0.0,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.15384615384615385,0.02564102564102564,0.0,0.0,0.23076923076923078,0.2564102564102564,0.1282051282051282,0.0,0.0,0.02564102564102564,0.0
stand,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.19444444444444445,0.25,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.0
swing_baseball,0.018518518518518517,0.0,0.0,0.0,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.4444444444444444,0.25925925925925924,0.0,0.0
throw,0.0,0.0,0.0,0.021739130434782608,0.13043478260869565,0.021739130434782608,0.0,0.10869565217391304,0.0,0.0,0.15217391304347827,0.0,0.0,0.0,0.32608695652173914,0.0,0.0,0.06521739130434782,0.043478260869565216,0.13043478260869565,0.0
walk,0.0,0.0,0.0,0.04878048780487805,0.04878048780487805,0.0,0.0,0.024390243902439025,0.0,0.024390243902439025,0.12195121951219512,0.0,0.0,0.024390243902439025,0.14634146341463414,0.07317073170731707,0.0975609756097561,0.0,0.0,0.3170731707317073,0.07317073170731707
wave,0.11904761904761904,0.047619047619047616,0.07142857142857142,0.07142857142857142,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.023809523809523808,0.0,0.047619047619047616,0.14285714285714285,0.0,0.09523809523809523,0.0,0.023809523809523808,0.07142857142857142,0.023809523809523808
