,diving,kicking,lifting,riding-horse,running,skateboarding,swinging,swinging-bar,swinging-golf,walking
diving,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kicking,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
lifting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
riding-horse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
running,0.07692307692307693,0.0,0.0,0.07692307692307693,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.0
skateboarding,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.16666666666666666,0.08333333333333333
swinging,0.1,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0
swinging-bar,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.6153846153846154,0.0,0.0
swinging-golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
walking,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.4090909090909091
